apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Boschilia,Internacional,Meia,7.55,2.6,-1.45,2.6,2,1
Guedes,Chapecoense,Meia,2.0,0.0,0.0,0.0,2,0
Rodrigo Lindoso,Internacional,Meia,10.92,3.6,1.31,6.2,2,2
Lucas Ramos,Internacional,Meia,1.0,0.0,0.0,0.0,2,0
Camacho,Corinthians,Meia,2.39,-1.5,-1.58,-0.4,2,2
Hudson,Fluminense,Meia,5.0,0.0,0.0,0.0,2,0
Ganso,Fluminense,Meia,5.0,0.0,0.0,0.0,2,0
Johnny,Internacional,Meia,2.1,-0.1,-0.9,-0.1,2,1
Yago Felipe,Fluminense,Meia,5.42,4.6,0.83,2.6,2,2
Praxedes,Internacional,Meia,6.13,4.9,0.77,2.8,2,2
Yuri Lima,Cuiabá,Meia,3.0,0.0,0.0,0.0,2,0
Patrick de Paula,Palmeiras,Meia,3.77,1.4,-0.82,0.5,2,2
Miguel,Fluminense,Meia,3.0,0.0,0.0,0.0,2,0
Camilo,Cuiabá,Meia,4.77,1.6,0.38,2.45,2,2
Danilo Barbosa,Palmeiras,Meia,4.0,0.0,0.0,0.0,2,0
Gabriel Menino,Palmeiras,Meia,12.95,0.0,0.0,7.6,2,1
Léo Gomes,Chapecoense,Meia,3.0,0.0,0.0,0.0,2,0
Danilo,Palmeiras,Meia,5.85,0.0,0.0,1.4,2,1
Uillian Correia,Cuiabá,Meia,4.14,3.0,0.14,3.0,2,1
Lucas Lima,Palmeiras,Meia,5.0,0.0,0.0,0.0,2,0
Rafael Gava,Cuiabá,Meia,2.87,-0.5,-0.89,0.45,2,2
Geovane,América-MG,Meia,1.04,0.0,0.0,-0.5,2,1
Lucas Gabriel,América-MG,Meia,1.0,0.0,0.0,0.0,2,0
Auremir,Cuiabá,Meia,3.76,2.1,-0.24,2.1,2,1
Felipe,Fortaleza,Meia,4.44,0.0,-0.78,1.25,2,2
Jean Mota,Santos,Meia,10.96,12.1,4.56,8.15,2,2
Alison,Santos,Meia,2.92,-0.1,-0.98,0.25,2,2
Anderson Leite,Chapecoense,Meia,1.88,0.0,0.0,0.7,2,1
Matheus Vargas,Fortaleza,Meia,8.0,4.1,1.18,4.45,2,2
Matheus Jussa,Fortaleza,Meia,1.36,-1.3,-1.36,-0.7,2,2
Jadson,Athlético-PR,Meia,8.62,15.4,5.56,7.4,2,2
Lucas Crispim,Fortaleza,Meia,6.83,11.6,4.67,6.35,2,2
Luiz Henrique,Fortaleza,Meia,4.72,6.0,1.72,6.0,2,1
Thiago Santos,Grêmio,Meia,2.37,0.0,0.0,-1.6,2,1
Carlos Sánchez,Santos,Meia,10.0,0.0,0.0,0.0,2,0
Éderson,Fortaleza,Meia,7.56,2.7,0.6,3.85,2,2
Alisson,Grêmio,Meia,7.0,0.0,0.0,0.0,2,0
Gustavo,América-MG,Meia,2.24,1.9,0.24,1.9,2,1
Lucas Silva,Grêmio,Meia,3.62,0.0,0.0,0.2,2,1
Rafael Longuine,Santos,Meia,2.0,0.0,0.0,0.0,2,0
Nikão,Athlético-PR,Meia,7.93,9.2,1.59,3.65,2,2
Jobson,Santos,Meia,6.0,0.0,0.0,0.0,2,0
